Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Export Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%)
Nigeria,Angola,2019,Export,  All Products,566278.01,100,,,
Nigeria,United Arab Emirates,2019,Export,  All Products,125605.39,100,1,8.57,-22.53
Nigeria,Argentina,2019,Export,  All Products,57874.19,100,1,-13.36,-91.79
Nigeria,Australia,2019,Export,  All Products,369141.38,100,1,-3.03,-10.01
Nigeria,Burundi,2019,Export,  All Products,157.45,100,1,5.73,146.27
Nigeria,Belgium,2019,Export,  All Products,205337.79,100,1,-3.15,-5.62
Nigeria,Benin,2019,Export,  All Products,83785.98,100,1,-5.87,-14.93
Nigeria,Burkina Faso,2019,Export,  All Products,3146.09,100,1,-0.5,-5.78
Nigeria,Bangladesh,2019,Export,  All Products,49482.41,100,,,
Nigeria,Bulgaria,2019,Export,  All Products,971.24,100,1,-0.21,2.56
Nigeria,Brazil,2019,Export,  All Products,851591.8,100,1,-1.08,-25
Nigeria,Canada,2019,Export,  All Products,1343885.46,100,1,-0.72,-22.61
Nigeria,Switzerland,2019,Export,  All Products,106.75,100,1,-0.43,-16.57
Nigeria,China,2019,Export,  All Products,1665029.55,100,1,-1.56,19.44
Nigeria,Cote d'Ivoire,2019,Export,  All Products,1161437.24,100,1,-2.25,2.21
Nigeria,Cameroon,2019,Export,  All Products,888576.19,100,,,
Nigeria,"Congo, Rep.",2019,Export,  All Products,24546.16,100,1,-19.79,-28.69
Nigeria,Colombia,2019,Export,  All Products,26747.48,100,1,1.42,-79.32
Nigeria,Cape Verde,2019,Export,  All Products,1176.63,100,1,-1.54,-18.74
Nigeria,Cura‡ao,2019,Export,  All Products,154.83,100,,,
Nigeria,Cyprus,2019,Export,  All Products,98.06,100,1,-7.86,6.02
Nigeria,Czech Republic,2019,Export,  All Products,85.73,100,1,-1.54,242.75
Nigeria,Germany,2019,Export,  All Products,1159552.38,100,1,-2.06,-5.21
Nigeria,Dominica,2019,Export,  All Products,62909.25,100,,,
Nigeria,Denmark,2019,Export,  All Products,179393.68,100,1,-2.22,65.88
Nigeria,Dominican Republic,2019,Export,  All Products,64818.4,100,,,
Nigeria,Algeria,2019,Export,  All Products,1055.72,100,,,
Nigeria,Ecuador,2019,Export,  All Products,40.3,100,1,-6.15,105.1
Nigeria,"Egypt, Arab Rep.",2019,Export,  All Products,2323.27,100,1,-2.32,-78.17
