Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Nigeria,NGA,2020,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,79494069493.6721
Nigeria,NGA,2019,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,113242181516.494
Nigeria,NGA,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,85962676124.6979
Nigeria,NGA,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,61640231355.4539
Nigeria,NGA,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,54504536590.3254
Nigeria,NGA,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,85585966970.0322
Nigeria,NGA,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,107242681445.89
Nigeria,NGA,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,103055330291.976
Nigeria,NGA,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,103916145694.641
Nigeria,NGA,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,114473246327.53
Nigeria,NGA,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,91290792507.3919
Nigeria,NGA,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,64823496557.1442
Nigeria,NGA,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,81606469265.8681
Nigeria,NGA,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,60958280524.182
Nigeria,NGA,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,42388092834.6568
Nigeria,NGA,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,35772642566.5845
Nigeria,NGA,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,23671552421.6723
Nigeria,NGA,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,25191005658.0769
Nigeria,NGA,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,18651172244.5035
Nigeria,NGA,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,18732692476.2601
Nigeria,NGA,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,15382970907.1362
Nigeria,NGA,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,14881495287.4274
Nigeria,NGA,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4559310978.60698
Nigeria,NGA,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5373735411.88375
Nigeria,NGA,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4512723053.80191
Nigeria,NGA,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4922769244.44453
Nigeria,NGA,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,12504409892.7078
Nigeria,NGA,1993,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,12723051235.4121
Nigeria,NGA,1992,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11484602539.3347
Nigeria,NGA,1991,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,12892671384.9675
Nigeria,NGA,1990,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,9857950766.21521
Nigeria,NGA,1989,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7612358082.13059
Nigeria,NGA,1988,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7564084667.43565
Nigeria,NGA,1987,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7879159800.30047
Nigeria,NGA,1986,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5042966082.20631
Nigeria,NGA,1985,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10646985829.4728
Nigeria,NGA,1984,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11892594336.388
