Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
NGA,2020,BM.GSR.TOTL.CD,79494069493.6721
NGA,2019,BM.GSR.TOTL.CD,113242181516.494
NGA,2018,BM.GSR.TOTL.CD,85962676124.6979
NGA,2017,BM.GSR.TOTL.CD,61640231355.4539
NGA,2016,BM.GSR.TOTL.CD,54504536590.3254
NGA,2015,BM.GSR.TOTL.CD,85585966970.0322
NGA,2014,BM.GSR.TOTL.CD,107242681445.89
NGA,2013,BM.GSR.TOTL.CD,103055330291.976
NGA,2012,BM.GSR.TOTL.CD,103916145694.641
NGA,2011,BM.GSR.TOTL.CD,114473246327.53
NGA,2010,BM.GSR.TOTL.CD,91290792507.3919
NGA,2009,BM.GSR.TOTL.CD,64823496557.1442
NGA,2008,BM.GSR.TOTL.CD,81606469265.8681
NGA,2007,BM.GSR.TOTL.CD,60958280524.182
NGA,2006,BM.GSR.TOTL.CD,42388092834.6568
NGA,2005,BM.GSR.TOTL.CD,35772642566.5845
NGA,2004,BM.GSR.TOTL.CD,23671552421.6723
NGA,2003,BM.GSR.TOTL.CD,25191005658.0769
NGA,2002,BM.GSR.TOTL.CD,18651172244.5035
NGA,2001,BM.GSR.TOTL.CD,18732692476.2601
NGA,2000,BM.GSR.TOTL.CD,15382970907.1362
NGA,1999,BM.GSR.TOTL.CD,14881495287.4274
NGA,1998,BM.GSR.TOTL.CD,4559310978.60698
NGA,1997,BM.GSR.TOTL.CD,5373735411.88375
NGA,1996,BM.GSR.TOTL.CD,4512723053.80191
NGA,1995,BM.GSR.TOTL.CD,4922769244.44453
NGA,1994,BM.GSR.TOTL.CD,12504409892.7078
NGA,1993,BM.GSR.TOTL.CD,12723051235.4121
NGA,1992,BM.GSR.TOTL.CD,11484602539.3347
NGA,1991,BM.GSR.TOTL.CD,12892671384.9675
NGA,1990,BM.GSR.TOTL.CD,9857950766.21521
NGA,1989,BM.GSR.TOTL.CD,7612358082.13059
NGA,1988,BM.GSR.TOTL.CD,7564084667.43565
NGA,1987,BM.GSR.TOTL.CD,7879159800.30047
NGA,1986,BM.GSR.TOTL.CD,5042966082.20631
NGA,1985,BM.GSR.TOTL.CD,10646985829.4728
NGA,1984,BM.GSR.TOTL.CD,11892594336.388
NGA,1983,BM.GSR.TOTL.CD,14802393952.752
NGA,1982,BM.GSR.TOTL.CD,19735359343.2146
NGA,1981,BM.GSR.TOTL.CD,25384154903.3551
NGA,1980,BM.GSR.TOTL.CD,22005158149.979
NGA,1979,BM.GSR.TOTL.CD,15965036876.729
NGA,1978,BM.GSR.TOTL.CD,15092747809.6702
NGA,1977,BM.GSR.TOTL.CD,14119722355.9196
NGA,2020,BN.CAB.XOKA.CD,-16975923423.8576
NGA,2019,BN.CAB.XOKA.CD,-14627014405.3102
NGA,2018,BN.CAB.XOKA.CD,6260574934.08393
NGA,2017,BN.CAB.XOKA.CD,12689340192.5417
NGA,2016,BN.CAB.XOKA.CD,5077217476.10779
NGA,2015,BN.CAB.XOKA.CD,-15438642533.9653
NGA,2014,BN.CAB.XOKA.CD,906535877.208596
NGA,2013,BN.CAB.XOKA.CD,19048981238.3773
NGA,2012,BN.CAB.XOKA.CD,17374274674.8298
NGA,2011,BN.CAB.XOKA.CD,10668377374.3563
NGA,2010,BN.CAB.XOKA.CD,13111276866.0477
NGA,2009,BN.CAB.XOKA.CD,13869493317.9963
NGA,2008,BN.CAB.XOKA.CD,29145209282.7052
NGA,2007,BN.CAB.XOKA.CD,27648255973.9625
NGA,2006,BN.CAB.XOKA.CD,36517576727.8671
NGA,2005,BN.CAB.XOKA.CD,36529017085.3405
NGA,2004,BN.CAB.XOKA.CD,16840536007.6651
NGA,2003,BN.CAB.XOKA.CD,3390606191.57599
NGA,2002,BN.CAB.XOKA.CD,1083110754.09664
NGA,2001,BN.CAB.XOKA.CD,2477762769.00601
NGA,2000,BN.CAB.XOKA.CD,7427061115.99127
NGA,1999,BN.CAB.XOKA.CD,505750064.166363
NGA,1998,BN.CAB.XOKA.CD,-1209158482.16009
NGA,1997,BN.CAB.XOKA.CD,168239307.795429
NGA,1996,BN.CAB.XOKA.CD,1098803754.71854
NGA,1995,BN.CAB.XOKA.CD,-802326715.400964
NGA,1994,BN.CAB.XOKA.CD,-2127932351.33661
NGA,1993,BN.CAB.XOKA.CD,-780390880.704054
NGA,1992,BN.CAB.XOKA.CD,2267772911.32048
NGA,1991,BN.CAB.XOKA.CD,1202560682.16835
NGA,1990,BN.CAB.XOKA.CD,4988245133.76812
NGA,1989,BN.CAB.XOKA.CD,1089516459.18013
