date,code,usdprice
#date,#meta+code,#value+usd
2015-01-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,30.1042
2015-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,28.9
2015-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,28.1775
2015-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,28.9
2015-05-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,28.9
2015-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,28.9
2015-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,30.345
2015-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,31.3084
2015-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,31.3084
2015-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,29.3817
2016-01-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,27.9969
2016-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,29.2011
2016-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,30.1042
2016-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,33.1628
2016-05-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,37.4737
2016-06-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,48.1667
2016-07-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,57.8001
2016-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,58.7634
2016-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,58.8838
2016-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,58.5226
2016-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,59.7268
2016-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,58.5226
2017-01-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,65.0251
2017-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,65.0251
2017-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,66.4701
2017-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,67.0722
2017-05-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,66.9518
2017-06-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,66.9518
2017-07-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,68.3968
2017-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,78.9164
2017-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,85.496
2017-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,84.8939
2017-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,84.2918
2017-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,84.2918
2018-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,73.4567
2018-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,76.4671
2018-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,79.4751
2018-05-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,84.2918
2018-07-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,85.496
2018-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,83.3285
2018-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,84.2918
2018-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,84.2918
2018-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,84.2918
2018-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,84.2918
2019-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,84.2918
2019-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,84.653
2019-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,84.2918
2019-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,86.7001
2019-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,87.9043
2019-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,90.3126
2019-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,86.7001
2019-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,86.7001
2020-01-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,86.7001
2020-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,86.7001
2020-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,89.5901
2020-05-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,92.6044
2020-06-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,93.9251
2020-07-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,95.4012
2020-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,97.5765
2020-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,100.6685
2020-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,91.0196
2020-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,86.7483
2020-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,90.5069
2021-01-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,92.6044
2021-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,93.9251
2021-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,106.2679
2021-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,110.3018
2021-05-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,116.9209
2021-06-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,122.3435
2021-07-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,124.6897
2021-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,124.9228
2021-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,120.8985
2021-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,107.9867
2021-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,96.3335
2021-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,99.2235
2014-05-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,0.578
2014-07-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,0.578
2014-08-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,2.5697
2014-08-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,2.5697
2014-09-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,2.5697
2014-10-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,2.5288
2014-10-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,2.5288
2014-11-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,2.5787
2014-11-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,2.5787
2014-12-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,2.5288
2014-12-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,2.5288
2015-01-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,2.5288
2015-02-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,2.5288
2015-02-15,Oyo-Ibadan North-Ibadan-Oil (palm)-L-NGN,2.5288
